Digikey,Qty.,,,Newark,Qty.,,Samtec,Qty.,,Sparkfun,Qty.
445-7644-1-ND,1,,,80P3616 (Newark),1,,ESW-106-24-G-D (Samtec),1,,DEV-10915 (Sparkfun),1
445-7456-1-ND,8,,,80P3613 (Newark),1,,DW-08-10-G-S-420,2,,,
445-10547-1-ND,5,,,B5-080 (Newark),1,,DW-06-10-G-S-421,1,,,
478-7526-1-ND,4,,,,,,DW-10-10-G-S-422,1,,,
399-5157-1-ND,1,,,,,,,,,,
493-6198-1-ND,2,,,,,,,,,,
S1B-FDICT-ND,1,,,,,,,,,,
1N5711W-FDICT-ND,2,,,,,,,,,,
CT2251-ND,1,,,,,,,,,,
445-2205-1-ND,2,,,,,,,,,,
S9177-ND,1,,,,,,,,,,
160-1479-1-ND,1,,,,,,,,,,
160-1478-1-ND,1,,,,,,,,,,
WM18446-ND,1,,,,,,,,,,
568-1631-1-ND,1,,,,,,,,,,
IRF540STRLPBFCT-ND,1,,,,,,,,,,
P10.0KHCT-ND,3,,,,,,,,,,
P110KHCT-ND,1,,,,,,,,,,
P240HCT-ND,1,,,,,,,,,,
P2.10KHCT-ND,1,,,,,,,,,,
P1.00KHCT-ND,7,,,,,,,,,,
P3.00KHCT-ND,1,,,,,,,,,,
P75.0HCT-ND,1,,,,,,,,,,
P120HCT-ND,1,,,,,,,,,,
P470HCT-ND,1,,,,,,,,,,
P9.09KDBCT-ND,1,,,,,,,,,,
P1.0KDBCT-ND,1,,,,,,,,,,
P10.0HCT-ND,1,,,,,,,,,,
P2.20KHCT-ND,1,,,,,,,,,,
SM-42TW103CT-ND,1,,,,,,,,,,
408-1630-1-ND,1,,,,,,,,,,
401-1999-1-ND,1,,,,,,,,,,
563-1246-1-ND,1,,,,,,,,,,
401-1999-1-ND,1,,,,,,,,,,
MCP4921-E/SN-ND,1,,,,,,,,,,
LM317SX/NOPBCT-ND,1,,,,,,,,,,
296-32395-1-ND,1,,,,,,,,,,
LM337IMPX/NOPBCT-ND,1,,,,,,,,,,
ADR03AKSZ-REEL7CT-ND,1,,,,,,,,,,
OP1177ARMZ-REELCT-ND,1,,,,,,,,,,
296-11967-1-ND,1,,,,,,,,,,
ZXTD4591E6CT-ND,1,,,,,,,,,,
991-1034-ND,5,,,,,,,,,,
WM23608-ND,1,,,,,,,,,,
WM9155CT-ND,5,,,,,,,,,,
S9318-ND,1,,,,,,,,,,
294-1104-ND,1,,,,,,,,,,
401-1999-1-ND,2,,,,,,,,,,
