Digikey,Quantity,Description
445-7456-1-ND,10,CERAMIC CAP.
445-XXXX-1-ND,1,CERAMIC CAP.
445-7644-1-ND,1,CERAMIC CAP.
445-10547-1-ND,5,CERAMIC CAP.
478-7526-1-ND,4,TANT CAP.
399-5157-1-ND,1,TANT CAP.
493-6198-1-ND,2,ALUM CAP.
160-1479-1-ND,2,LED SUPR RED CLR 0603 RT ANG SMD
401-1999-1-ND,1,SWITCH SLIDE 1PDT 6VDC 0.3A SMT
S1B-FDICT-ND,1,DIODE GEN PURPOSE 100V 1A SMA
1N5711W-FDICT-ND,2,DIODE SCHOTTKY
401-1999-1-ND,1,SWITCH SLIDE 1PDT 6VDC 0.3A SMT
3310C-001-102L-ND,1,POT 1.0K OHM 9MM SQ RTANG PLAST
294-1104-ND,1,"HEATSINK CPU W/ADHESIVE 1.81SQ"""
445-2205-1-ND,6,FERRITE CHIP BEAD 600 OHM
S9177-ND,1,CONN HEADR 2.54MM 10POS GOLD R/A
160-1478-1-ND,1,LED GREEN CLEAR 0603 RT ANG SMD
WM18446-ND,1,CONN HEADER 3POS 4.2MM R/A TIN
568-1631-1-ND,1,TRANS NPN GP 500 45V SOT23
IRF510SPBF-ND,1,MOSFET N-CH 100V 5.6A
P10.0KHCT-ND,4,Chip resistor
PxxxxHCT-ND,1,Chip resistor
P110KHCT-ND,1,Chip resistor
P240HCT-ND,1,Chip resistor
P1.82KHCT-ND,1,Chip resistor
P3.00KHCT-ND,1,Chip resistor
P1.00KHCT-ND,10,Chip resistor
P0.0GCT-ND,1,Chip resistor
P470HCT-ND,1,Chip resistor
P5.60KHCT-ND,1,Chip Resistor
P220KHCT-ND,2,Chip resistor
P10.0HCT-ND,1,Chip resistor
SM-42TW103CT-ND,1,TRIMMER
PWR5322WR500JECT-ND,1,RES 0.5 OHM 3W 5% 5322 SMD
563-1246-1-ND,1,PUSH SPDT
991-1034-ND,6,CONN BNC JACK 50 OHM EDGE MNT
MCP4921-E/SN-ND,1,DAC 12BIT SNGL W/SPI
MCP4022T-503E/CHCT-ND,1,NON-VOLATILE DGTL POT 50K
LM317SX/NOPBCT-ND,1,REG LDO ADJ 1.5A
296-16957-1-ND,1,IC COMPARATR NANOPWR P-P SOT23-5
LM337IMPX/NOPBCT-ND,1,IC REG LDO NEG ADJ 1A SOT223
ADR03AKSZ-REEL7CT-ND,1,VREF
OP1177ARMZ-REELCT-ND,1,OPAMP GP 1.3MHZ
LTC2052HVCS#PBF-ND,1,IC OPAMP CHOPPER 3MHZ RRO 14SO
ZXTD4591E6CT-ND,1,TRANS NPN/PNP 60V 1A SOT23-6
563-1180-ND,1,CAP PUSHBUTTON ROUND RED
679-3549-ND,1,CONTROL KNOB
,,
OSH Park,Quantity,Description
Cyclops PCB,1,https://oshpark.com/shared_projects/tZwgF7jG
,,
Adafruit,Quantity,Description
883 (Adafruit),1,Arduino Leonardo ATmega32u4 without headers
,,
Newark,Quantity,Description
80P3616 (Newark),1,"PCB, SOCKET, 4MM"
80P3613 (Newark),1,"PCB, SOCKET, 4MM"
B5-080BK,1,Case
,,
Samtec,Quantity,Description
SSW-106-01-F-D,1,Board to board connector
SSW-112-01-F-D,1,Board to board connector
SSW-106-01-F-S,1,Board to board connector
SSW-108-01-F-S ,2,Board to board connector
SSW-110-01-F-S,1,Board to board connector
