time	V(n004)
Step Information: Ampl=6  (Run: 1/14)
0.000000000000000e+000	1.228185e-006
1.000000000000000e-009	1.228185e-006
1.000792000011521e-009	4.097567e-006
1.002376000034563e-009	1.103392e-005
1.003772414582461e-009	1.866671e-005
1.005096867929759e-009	2.774400e-005
1.007745774624354e-009	5.000121e-005
1.010547344518252e-009	7.941780e-005
1.014981800519975e-009	1.381098e-004
1.019989979740564e-009	2.220265e-004
1.027580145193716e-009	3.834253e-004
1.037101004892162e-009	6.420001e-004
1.052420289493079e-009	1.179741e-003
1.076268715699323e-009	2.281748e-003
1.123965568111809e-009	5.077668e-003
1.171293399381362e-009	8.442139e-003
1.253873837544358e-009	1.519224e-002
1.375784283822102e-009	2.582253e-002
1.551221755787346e-009	4.116509e-002
1.766222682446958e-009	5.942033e-002
1.894685453320263e-009	6.944633e-002
1.971015352753053e-009	7.516816e-002
2.000000000000000e-009	7.729901e-002
2.002898464724695e-009	7.749187e-002
2.008695394174084e-009	7.785639e-002
2.020289253072863e-009	7.849365e-002
2.043476970870420e-009	7.945888e-002
2.089287366005972e-009	8.048028e-002
2.180908156277074e-009	8.054429e-002
2.357491697830185e-009	7.799874e-002
2.549942189743474e-009	7.422310e-002
2.704722492056076e-009	7.132071e-002
2.929871877142629e-009	6.760017e-002
3.169261874134321e-009	6.404220e-002
3.648041868117705e-009	5.762249e-002
4.090396925835102e-009	5.231006e-002
4.706864512568277e-009	4.579493e-002
5.324560084364305e-009	4.015091e-002
6.245739254851676e-009	3.311390e-002
7.334288309236800e-009	2.652554e-002
9.161491293042456e-009	1.836070e-002
1.111461629304246e-008	1.225344e-002
1.306774129304246e-008	8.217712e-003
1.502086629304246e-008	5.563315e-003
1.697399129304246e-008	3.809517e-003
1.892711629304246e-008	2.644810e-003
2.088024129304246e-008	1.867101e-003
2.283336629304246e-008	1.343852e-003
2.478649129304246e-008	9.886099e-004
2.673961629304246e-008	7.445625e-004
2.869274129304246e-008	5.746277e-004
3.064586629304246e-008	4.542543e-004
3.259899129304246e-008	3.674558e-004
3.455211629304246e-008	3.036489e-004
3.650524129304247e-008	2.558311e-004
3.845836629304247e-008	2.192658e-004
4.041149129304247e-008	1.907752e-004
4.236461629304247e-008	1.681671e-004
4.431774129304247e-008	1.499275e-004
4.627086629304247e-008	1.349834e-004
4.822399129304247e-008	1.225680e-004
5.017711629304247e-008	1.121238e-004
5.213024129304248e-008	1.032363e-004
5.408336629304248e-008	9.559831e-005
5.603649129304248e-008	8.897162e-005
5.798961629304248e-008	8.317723e-005
5.994274129304248e-008	7.807042e-005
6.189586629304247e-008	7.354178e-005
6.384899129304247e-008	6.949878e-005
6.580211629304246e-008	6.587178e-005
6.775524129304246e-008	6.259901e-005
6.970836629304245e-008	5.963451e-005
7.361461629304244e-008	5.447075e-005
7.752086629304243e-008	5.013037e-005
8.142711629304242e-008	4.643432e-005
8.533336629304241e-008	4.325133e-005
8.923961629304240e-008	4.048310e-005
9.509899129304238e-008	3.694888e-005
1.009583662930424e-007	3.399716e-005
1.068177412930424e-007	3.149560e-005
1.126771162930423e-007	2.935035e-005
1.185364912930423e-007	2.749045e-005
1.263489912930423e-007	2.536551e-005
1.341614912930423e-007	2.356244e-005
1.419739912930423e-007	2.201380e-005
1.497864912930422e-007	2.066968e-005
1.595521162930422e-007	1.922056e-005
1.693177412930422e-007	1.797733e-005
1.790833662930422e-007	1.689938e-005
1.888489912930421e-007	1.595590e-005
2.005677412930421e-007	1.496849e-005
2.122864912930421e-007	1.410995e-005
2.240052412930420e-007	1.335670e-005
2.357239912930420e-007	1.269056e-005
2.493958662930420e-007	1.200468e-005
2.630677412930420e-007	1.140045e-005
2.767396162930419e-007	1.086414e-005
2.904114912930419e-007	1.038495e-005
3.040833662930418e-007	9.954223e-006
3.158021162930418e-007	9.618274e-006
3.275208662930418e-007	9.309144e-006
3.392396162930417e-007	9.023745e-006
3.509583662930417e-007	8.759453e-006
3.626771162930417e-007	8.514008e-006
3.763489912930416e-007	8.248899e-006
3.939271162930416e-007	7.937644e-006
4.134583662930415e-007	7.625635e-006
4.368958662930415e-007	7.291160e-006
4.642396162930414e-007	6.946995e-006
4.700989912930414e-007	6.878859e-006
5.052552412930421e-007	6.505605e-006
5.462708662930431e-007	6.134832e-006
5.950989912930443e-007	5.763994e-006
6.536927412930457e-007	5.395922e-006
7.161927412930472e-007	5.072723e-006
7.865052412930489e-007	4.772930e-006
8.646302412930508e-007	4.498890e-006
9.505677412930529e-007	4.250849e-006
1.044317741293055e-006	4.027748e-006
1.056036491293056e-006	4.002690e-006
1.161505241293058e-006	3.800171e-006
1.278692741293061e-006	3.614546e-006
1.407598991293064e-006	3.445985e-006
1.552130241293068e-006	3.289955e-006
1.641973991293070e-006	3.206560e-006
1.809942741293074e-006	3.072287e-006
1.997442741293068e-006	2.948177e-006
1.999395866293068e-006	2.946985e-006
2.000000000000000e-006	2.946797e-006
Step Information: Ampl=6.5  (Run: 2/14)
0.000000000000000e+000	1.228185e-006
