Frequency,Magnitude
200000,4972.97710242191
209425.70961018,4972.86104102842
219295.639228637,4972.73378905002
229630.724299377,4972.59426821572
240452.886923483,4972.44129650308
251785.082358833,4972.27357818458
263651.347711282,4972.08969292515
276076.852920577,4971.88808384139
289087.954149186,4971.66704442516
302712.249687242,4971.42470422523
316978.638492223,4971.15901317122
331917.381487512,4970.86772441343
347560.165749875,4970.54837554127
363940.171721997,4970.1982680306
381092.14359265,4969.81444475737
399052.462993776,4969.39366540086
417859.226170808,4968.93237954488
437552.324789911,4968.42669726879
458173.530553555,4967.87235700362
479766.583803899,4967.26469040944
502377.286301917,4966.59858401154
526053.598379077,4965.86843731181
550845.740667634,4965.06811707075
576806.300625322,4964.19090743259
603990.344080404,4963.22945554338
632455.532033677,4962.17571228732
662262.242965183,4961.02086774321
693473.700905065,4959.75528093788
726156.109540204,4958.36840345007
760378.792641124,4956.84869639524
796214.341106996,4955.18354030025
833738.766940673,4953.35913735826
873031.664480334,4951.36040553897
914176.379229752,4949.17086401849
957260.184645279,4946.77250938961
1002374.46725455,4944.14568211721
1049614.92049955,4941.26892271852
1099081.74771525,4938.11881717629
1150879.87467432,4934.66983113756
1205119.17214872,4930.89413251608
1261914.68896039,4926.76140220594
1321386.8960152,4922.23863273428
1383661.94183788,4917.28991483594
1448871.92014998,4911.87621213122
1517155.15005837,4905.95512433566
1588656.46944857,4899.48063973715
1663527.54220535,4892.40287804931
1741927.17991217,4884.66782520134
1824021.67871183,4876.21706216365
1909985.17204288,4866.98749054572
2000000.00000001,4856.91105844962
2094257.09610181,4845.91449092724
2192956.39228638,4833.91903038205
2296307.24299377,4820.84019338037
2404528.86923483,4806.58755159647
2517850.82358834,4791.06454600496
2636513.47711282,4774.16834494241
2760768.52920578,4755.78975826597
2890879.54149187,4735.81322150669
3027122.49687243,4714.11686559957
3169786.38492224,4690.57268940377
3319173.81487514,4665.04685371584
3475601.65749877,4637.40011671475
3639401.71721998,4607.48843162184
3810921.43592651,4575.16372765134
3990524.62993778,4540.27489488245
4178592.2617081,4502.66899230302
4375523.24789913,4462.19269574768
4581735.30553557,4418.69399857806
4797665.838039,4372.02417255081
5023772.86301919,4322.0399892583
5260535.98379079,4268.60619375058
5508457.40667636,4211.59821150155
5768063.00625324,4150.90505794537
6039903.44080407,4086.43240671854
6324555.32033679,4018.10575900779
6622622.42965186,3945.87364270968
