Frequency,Noise Gain,(Cin + Cf) / Cf,Op Amp Gain,(Cin || Cf) (Rin || Rf) </br> Zero
200000,1.00946588013607,5.96,1399.6998917777,1.00965641908995
209425.70961018,1.01037404014868,5.96,1336.67595386698,1.01058317255279
219295.639228637,1.01136880443412,5.96,1276.48739530716,1.01159836167385
229630.724299377,1.01245832705987,5.96,1219.006563682,1.01271032472544
240452.886923483,1.01365150918033,5.96,1164.11155214363,1.0139281663358
251785.082358833,1.01495806345119,5.96,1111.68594109853,1.01526182405819
263651.347711282,1.01638858321419,5.96,1061.61855156117,1.01672213997593
276076.852920577,1.01795461665203,5.96,1013.80320965397,1.01832093757957
289087.954149186,1.01966874608909,5.96,968.138521755454,1.02007110413428
302712.249687242,1.0215446725809,5.96,924.527659820891,1.02198667872867
316978.638492223,1.02359730589275,5.96,882.878156420591,1.02408294616179
331917.381487512,1.02584285991382,5.96,843.101709061018,1.02637653677926
347560.165749875,1.02829895348648,5.96,805.113993372647,1.02888553231291
363940.171721997,1.03098471654901,5.96,768.834484766071,1.03162957770869
381092.14359265,1.03392090139298,5.96,734.186288174432,1.03462999884371
399052.462993776,1.03712999872219,5.96,701.095975515558,1.03790992593492
417859.226170808,1.04063635806793,5.96,669.493430521508,1.04149442232713
437552.324789911,1.04446631196404,5.96,639.311700596358,1.04541061821794
458173.530553555,1.04864830311541,5.96,610.486855375201,1.04968784873085
479766.583803899,1.05321301360625,5.96,582.957851668391,1.05435779558776
502377.286301917,1.05819349499011,5.96,556.666404485321,1.05945463145898
526053.598379077,1.06362529788689,5.96,531.556863841347,1.06501516588801
550845.740667634,1.06954659948613,5.96,507.576097060297,1.07107899150301
576806.300625322,1.07599832712688,5.96,484.673376293353,1.07768862904441
603990.344080404,1.08302427590068,5.96,462.800270983362,1.08488966956715
632455.532033677,1.09067121801381,5.96,441.910545012102,1.09273091202515
662262.242965183,1.09898900145976,5.96,421.960058277079,1.1012644943285
693473.700905065,1.10803063540503,5.96,402.906672454563,1.11054601589136
726156.109540204,1.11785235959258,5.96,384.71016071704,1.1206346496763
760378.792641124,1.12851369503224,5.96,367.332121186684,1.13159324180148
796214.341106996,1.14007747328651,5.96,350.73589392194,1.14348839692396
833738.766940673,1.15260984178365,5.96,334.886481252216,1.15639054785667
873031.664480334,1.16618024280445,5.96,319.750471295891,1.1703740082253
914176.379229752,1.18086136409425,5.96,305.295964519241,1.18551700742639
957260.184645279,1.19672905944378,5.96,291.492503217768,1.2019017077068
1002374.46725455,1.21386223804708,5.96,278.311003826178,1.21961420383419
1049614.92049955,1.23234272196203,5.96,265.723691987566,1.23874450655082
1099081.74771525,1.25225507153936,5.96,253.704040335066,1.25938651177001
1150879.87467432,1.2736863792133,5.96,242.226708958718,1.28163795825266
1205119.17214872,1.29672603252063,5.96,231.267488545246,1.30560037724922
1261914.68896039,1.32146544758888,5.96,220.803246187466,1.33137903826906
1321386.8960152,1.34799777456816,5.96,210.811873862362,1.35908289570037
1383661.94183788,1.37641757653304,5.96,201.272239571937,1.38882454141196
1448871.92014998,1.40682048322428,5.96,192.164141129163,1.42072016869336
1517155.15005837,1.43930282061414,5.96,183.468262553386,1.45488955291007
1588656.46944857,1.47396121666393,5.96,175.166133017046,1.49145605406222
1663527.54220535,1.51089218280903,5.96,167.240088260381,1.53054664604342
1741927.17991217,1.55019166968832,5.96,159.673234365109,1.57229197682587
1824021.67871183,1.59195459447487,5.96,152.449413754251,1.61682646308013
1909985.17204288,1.63627433592448,5.96,145.553173265174,1.66428842191945
2000000.00000001,1.68324219200498,5.96,138.969734128316,1.71482024158604
2094257.09610181,1.73294679377919,5.96,132.684963675819,1.76856859202186
2192956.39228638,1.78547346816448,5.96,126.68534860289,1.82568467543595
2296307.24299377,1.84090354136172,5.96,120.957969609825,1.88632451623552
2404528.86923483,1.89931357421036,5.96,115.490477263494,1.95064928905937
2517850.82358834,1.96077452055792,5.96,110.271068932471,2.01882568316266
2636513.47711282,2.02535079999989,5.96,105.288466668484,2.09102630105949
2760768.52920578,2.09309927711504,5.96,100.531895927023,2.16743008913632
2890879.54149187,2.16406814065299,5.96,95.9910650402575,2.24822279789441
3027122.49687243,2.23829567808427,5.96,91.6561453748865,2.33359746954893
3169786.38492224,2.31580894355043,5.96,87.5177521250775,2.42375495088531
